FJ Accounts Receivable Aging Report ,,,,,,,,,,,,,,,,,,,
Legal Entity,"Alpha Ducts LLC,Alpine Coils Industry LLC,DC Serve Equipment Trading LLC,Euroclima Middle East Central Air Conditioning Equipment Manufacturing LLC,FJ Care Air Condition Trading LLC,FJ Care Technical Services LLC,FJ Electrical Engineering and General Trading Co. Limited,FJ Industries WLL,FJ Trading and Engineering Co. WLL,Faisal Jassem Trading Company LLC,Faisal Jassim Al Dosari Trading Owned By Faisal Jassim Mohammad Aldosari One Person Co. LLC,Faisal Jassim Engineering and Trading Co. LLC,Faisal Jassim Industries LLC,Faisal Jassim Trading Co. LLC,Flowtech Air Distribution Industries LLC,Future Journey Energy Solutions LLC,Metaform Industries LLC,Multiplast Dubai LLC,Raphael Khlat India Private Limited,Raphael Khlat Middle East FZCO,Tawreed Co. LLC,Tawreed Integrated Industries,ZZZ_DO_NOT_USE_IRQOLD",,,,,,,,,,,,,,,,,,
Division,"4010-Air Handling Unit,4020-Alpha Ducts,4030-Damper,4040-Alpine,4050-Insulation,4060-Busbar,4070-Chiller,4080-Corporate Administration,4090-Corporate Finance,4100-Corporate HR,4110-Corporate HSE & Internal Audit,4120-Corporate IT,4130-Corporate Logistics,4140-Corporate Management,4150-Corporate Marketing,4160-Corporate Procurement,4170-DC Serve,4180-Ducting ,4190-ECS Promaster,4200-ECS Promaster KSA,4210-Euroclima Middle East,4220-FJ Care,4230-FJ Energy,4240-FJ Iraq,4250-FJ Qatar Corporate,4260-Flowtech,4270-Flowtech KSA,4280-Lighting Solutions,4290-Metaform,4300-Multiplast KSA,4310-Multiplast UAE,4320-Pumps Aquaflo,4330-Pumps KSA,4340-Qatar MEP,4350-RKME ,4360-Ventilation Fans,4370-KSA Corporate,4380-DIP MPD Factory UAE",,,,,,,,,,,,,,,,,,
Business Unit,"Air Handling Unit KSA BU,Air Handling Unit UAE BU,Alpha Ducts KSA BU,Alpha Ducts Oman BU,Alpha Ducts Qatar BU,Alpha Ducts UAE BU,Alpine Coils General UAE BU,Alpine Coils UAE BU,Alpine Filter Frame UAE BU,Busbar UAE BU,Chiller UAE BU,Corporate Administration Abu Dhabi BU,Corporate Administration Dossari Trading UAE BU,Corporate Administration India BU,Corporate Administration Industries KSA BU,Corporate Administration Oman BU,Corporate Administration UAE BU,Corporate Finance India BU,Corporate Finance Industries KSA BU,Corporate Finance UAE BU,Corporate HR UAE BU,Corporate HSE & Internal Audit India BU,Corporate HSE & Internal Audit UAE BU,Corporate IT India BU,Corporate IT Industries KSA BU,Corporate IT UAE BU,Corporate Industries UAE BU,Corporate KSA BU,Corporate Logistics India BU,Corporate Logistics Industries KSA BU,Corporate Logistics UAE BU,Corporate Management UAE BU,Corporate Marketing UAE BU,Corporate Procurement UAE BU,DC Serve Cooling Tower KSA BU,DC Serve Cooling Tower Qatar BU,DC Serve Cooling Tower UAE BU,DC Serve General UAE BU,DC Serve Heat Exchanger KSA BU,DC Serve Heat Exchanger UAE BU,DC Serve KSA Operation UAE BU,DC Serve Qatar Operation UAE BU,DC Serve Valves KSA BU,DC Serve Valves Qatar BU,DC Serve Valves UAE BU,DCSM UAE BU,DIP MPD Factory UAE,Ducting FT Industries UAE BU,Ducting UAE BU,ECS Promaster India BU,ECS Promaster Industries KSA BU,ECS Promaster UAE BU,Euroclima Middle East AHU KSA BU,Euroclima Middle East AHU Qatar BU,Euroclima Middle East AHU UAE BU,Euroclima Middle East Export UAE BU,Euroclima Middle East FCU UAE BU,Euroclima Middle East General UAE BU,Euroclima Middle East KSA Operation UAE BU,Euroclima Middle East QTR Operation UAE BU,Euroclima Middle East Service UAE BU,FJ Care Casual Jobs UAE BU,FJ Care General UAE BU,FJ Care Projects UAE BU,FJ Care Services & AMC UAE BU,FJ Energy Boiler UAE BU,FJ Energy General UAE BU,FJ Energy KSA BU,FJ Energy KSA Operation UAE BU,FJ Energy Photovoltaic UAE BU,FJ Energy Plumbing UAE BU,FJ Energy Qatar BU,FJ Energy Qatar Operation UAE BU,FJ Energy Renewable UAE BU,FJ Energy Services UAE BU,FJ Iraq BU,FJ Iraq UAE BU,FJ Qatar Corporate BU,FJC AC Product Trading (FJC) UAE BU,FJC AC Product Trading KSA BU,FJC AC Product Trading UAE BU,FJC AC Spare Parts (FJC) UAE BU,FJC AC Spare Parts UAE BU,FJC AC Trading (FJC) UAE BU,FJC AC Trading UAE BU,Flowtech Dampers UAE BU,Flowtech FT Industries UAE BU,Flowtech Industries KSA BU,Flowtech KSA BU,Flowtech Oman BU,Flowtech Qatar BU,Flowtech UAE BU,Insulation KSA BU,Insulation Trading UAE BU,Insulation UAE BU,Lighting Solutions KSA BU,Lighting Solutions UAE BU,Metaform Access Panel Solution UAE BU,Metaform Architectural Metal Solution UAE BU,Metaform General Fabrication Solution UAE BU,Metaform General UAE BU,Metaform High-Performance Opening Solution UAE BU,Metaform KSA BU,Metaform Metal Enclosure Solution UAE BU,Metaform Metal Profile Solution UAE BU,Metaform POD UAE BU,Multiplast Industries KSA BU,Multiplast KSA BU,Multiplast UAE BU,Nationalisation Industries UAE BU,Nationalisation KSA BU,Nationalisation KSA Industries BU,Nationalisation UAE BU,Nationalization FT Industries UAE BU,Pumps Aquaflo General UAE BU,Pumps Aquaflo India BU,Pumps Aquaflo KSA BU,Pumps Aquaflo Oman BU,Pumps Aquaflo Service Oman BU,Pumps Aquaflo Service UAE BU,Pumps Aquaflo UAE BU,Qatar MEP BU,RKME UAE BU,Ventilation Fans Trading UAE BU,Ventilation Fans UAE BU",,,,,,,,,,,,,,,,,,
GL Code,All ,,,,,,,,,,,,,,,,,,
Aging As on,31/03/2026,,,,,,,,,,,,,,,,,,
Report Currency,Accounted,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Legal Entity,Division,Business Unit,GL Code,Customer Type,Customer Registry ID,Customer Account Number,Name of Customer,Country of customer,Currency,Total Receivable Value,Current/Not Due,0-30 days,31-60 days,61-90 days,91-120 days,121-180 days,181-365 days,366 to 730 days,Above 730 days
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121204-Unapplied Receipts‬,External,‭103276‬,307-103276,JOHNSON CONTROLS & AIR CONDITIONING & REFRIGERATION LLC (DUBAI BRANCH),AE,AED,"-9,903.37",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-9,903.37"
Faisal Jassim Trading Co. LLC,‭4080‬,Corporate Administration UAE BU,‭121204-Unapplied Receipts‬,External,‭101711‬,307-101711,CODES CONSTRUCTION LLC,AE,AED,"-12,398.27",0.00,0.00,0.00,0.00,0.00,"-12,398.27",0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Product Trading UAE BU,‭121202-PDC Receipts‬,External,‭101221‬,308-101221,ASIAN FALCONS ENGINEERING CONTRACTING LLC,AE,AED,"39,137.00",0.00,0.00,"39,137.00",0.00,0.00,0.00,0.00,0.00,0.00
FJ Care Air Condition Trading LLC,‭4220‬,FJC AC Spare Parts UAE BU,‭121401-Due from Inter Division‬,External,‭102498‬,308-102498,FJ SHOWROOM -COUNTER SALES,AE,AED,"-1,030.00",0.00,0.00,0.00,0.00,"-1,030.00",0.00,0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJ Care Casual Jobs UAE BU,‭121204-Unapplied Receipts‬,External,‭103018‬,309-103018,HSH REAL ESTATE,AE,AED,"-1,575.00",0.00,0.00,0.00,0.00,0.00,"-1,575.00",0.00,0.00,0.00
FJ Care Technical Services LLC,‭4220‬,FJC AC Trading (FJC) UAE BU,‭121204-Unapplied Receipts‬,External,‭105415‬,309-105415,TERMINAL CONTRACTING L.L.C,AE,AED,"-27,527.00",0.00,"-27,527.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Future Journey Energy Solutions LLC,‭4230‬,FJ Energy Plumbing UAE BU,‭121202-PDC Receipts‬,External,‭103056‬,313-103056,I ZONE ELECTROMECHANICAL CONTRACTORS LLC,AE,AED,"2,45,806.55",0.00,"2,32,083.88","7,624.26",0.00,"6,098.41",0.00,0.00,0.00,0.00
Future Journey Energy Solutions LLC,‭4230‬,FJ Energy Renewable UAE BU,‭121202-PDC Receipts‬,External,‭105656‬,313-105656,UNITED MASTERS ELECTROMECHANICAL LLC,AE,AED,"27,352.50",0.00,"27,352.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Future Journey Energy Solutions LLC,‭4230‬,FJ Energy Services UAE BU,‭223921-Advances from Customers‬,External,‭102991‬,313-102991,HOLIDAY INN AL MAKTOUM AIRPORT HOTEL DWC LLC,AE,AED,114.28,0.00,"2,514.28",0.00,0.00,0.00,0.00,"-2,400.00",0.00,0.00
Metaform Industries LLC,‭4290‬,Metaform High-Performance Opening Solution UAE BU,‭121202-PDC Receipts‬,External,‭101840‬,314-101840,D N K ENGINEERING EQUIPMENT TRADING LLC,AE,AED,"1,42,747.50",0.00,"1,42,747.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Metaform Industries LLC,‭4290‬,Metaform Metal Enclosure Solution UAE BU,‭121202-PDC Receipts‬,External,‭102199‬,314-102199,ELTECH SWITCHGEAR (FZC),AE,AED,"2,18,182.68",0.00,"88,453.04","1,29,729.64",0.00,0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121204-Unapplied Receipts‬,External,‭100421‬,315-100421,AL FUTTAIM ENGINEERING LLC,AE,AED,"-4,261.08",0.00,0.00,0.00,"-4,174.49",0.00,0.00,0.00,-3.84,-82.75
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121202-PDC Receipts‬,External,‭104727‬,315-104727,ROSE CITY CONTRACTING L.L.C,AE,AED,"1,80,117.33",0.00,"98,351.41","81,765.92",0.00,0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121202-PDC Receipts‬,External,‭104670‬,315-104670,RELIANCE ELECTRO MECHANICAL PLUMBING & CONTRACTING CO. LLC,AE,AED,"1,88,425.34",0.00,"1,88,425.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121204-Unapplied Receipts‬,External,‭105552‬,315-105552,TRANS EMIRATES ELECTRICAL & MECHANICAL WORKS LLC,AE,AED,-159.50,0.00,0.00,-159.50,0.00,0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121202-PDC Receipts‬,External,‭105118‬,315-105118,SOBHA CONSTRUCTIONS LLC,AE,AED,"2,65,237.73",0.00,"1,25,107.19","1,16,454.14","23,676.40",0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121202-PDC Receipts‬,External,‭102686‬,315-102686,GMCO ELECTROMECHANICAL WORKS,AE,AED,"2,213.31",0.00,"2,213.31",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121202-PDC Receipts‬,External,‭103568‬,315-103568,MAG INTERNATIONAL ELECTRO - MECHANICAL WORKS,AE,AED,"76,447.67",0.00,"76,447.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Multiplast Dubai LLC,‭4310‬,Multiplast UAE BU,‭121204-Unapplied Receipts‬,External,‭105656‬,315-105656,UNITED MASTERS ELECTROMECHANICAL LLC,AE,AED,"-14,167.48",0.00,"-13,397.77",-582.75,0.00,0.00,-126.41,0.00,0.00,-60.55
Tawreed Co. LLC,‭4010‬,Air Handling Unit KSA BU,‭121204-Unapplied Receipts‬,External,‭108477‬,318-108477,SAUDI BIN LADIN GROUP (O&M)2249,SA,SAR,"-18,05,557.20",0.00,0.00,0.00,0.00,0.00,"-18,05,557.20",0.00,0.00,0.00
